"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ccc19_institution,screening_form,,dropdown,"Please identify the participating institution.","181, Albert Einstein Cancer Center | 101, Aurora Health Care | 1-118, Banner MD Anderson Cancer Center | 158, Baptist Cancer Center (Memphis, TN) | 196, Baptist Healthcare System (IN/KY) | 1-109, Barrow Neurological Institute | 163, Baylor College of Medicine | 39-6, BC Cancer | 162, Beth Israel Deaconess Medical Center (BIDMC) | 192, Boston Medical Center | 139, Brown University | 167, Cancer Treatment Centers of America (CTCA) | 392, Centre Hospitalier de l'Université de Montréal (CHUM) | 140-2, Centro Médico ABC | 102, City of Hope | 103, Cleveland Clinic | 133, Columbia University/New York Presbyterian | 188, Cook County Hospital | 104, Dana-Farber Cancer Institute (DFCI) | 105, Duke University | 143, Einstein Medical Center | 106, Emory University/Winship Cancer Institute | 107, Fred Hutchinson Cancer Research Center/University of Washington/Seattle Cancer Care Alliance | 1-101, Geisinger Health System | 1-104, Georgetown Lombardi Comprehensive Cancer Center at Georgetown University | 1-110, George Washington University | 138, Gundersen Health System | 395, Hamilton Health Sciences | 1-103, Harold C. Simmons Comprehensive Cancer Center at the University of Texas Southwestern Medical Center | 144, Hartford HealthCare Cancer Institute | 1-114, HCA Houston Healthcare | 189, Henry Ford Cancer Institute | 394, Hôpital Pierre-Le Gardeur | 140-3, Hospital General de México | 140-4, Hospital Regional de Alta Especialidad de Ixtalapuca | 151, Houston Methodist Cancer Center | 168, Huntsman Cancer Institute | 146, Inova Schar Cancer Institute | 140-1, Instituto Nacional de Cancerología | 108, Intermountain Healthcare | 109, Johns Hopkins University | 177, Kaiser Permanente Northwest | 152, Karmanos Cancer Institute | 193, Lewis Cancer & Research Pavilion @ St. Joseph's/Candler | 178, Loma Linda University Cancer Center | 155, Loyola University Medical Center | 142, LSU Health Sciences Center | 190, Markey Cancer Center at the University of Kentucky | 110, Massachusetts General Hospital (MGH) | 111, Mayo Clinic | 112, Mays Cancer Center at UT Health San Antonio | 391, McGill University Health Centre | 113, MD Anderson Cancer Center | 1-116, MD Anderson Cancer Center at Cooper | 131, Medical University of South Carolina/Hollings Cancer Center | 1-112, Meharry Medical College | 182, Memorial Sloan-Kettering Cancer Center (MSKCC) | 197, Michigan Center of Medical Research | 172, Missouri Baptist Cancer Center | 137, Moffitt Cancer Center | 176, Mount Auburn Hospital | 160, Mount Carmel Health System | 114, Mount Sinai/Tisch Cancer Institute | 115, Northwell Health | 1-107, Northwest Medical Specialties | 116, Northwestern University/Lurie Cancer Center | 147, NYU Langone Health/Perlmutter Cancer Center | 1-115, O'Neal Comprehensive Cancer Center at UAB | 154, Oregon Health & Sciences University/Knight Cancer Institute (OHSU) | 199, Parkview Cancer Institute/Parkview Research Center | 149, Penn State Cancer Institute | 198, Penn State Health St. Joseph Cancer Center | 1-120, Providence Cancer Institute | 1-119, Roger Williams Medical Center | 150, Roswell Park Comprehensive Cancer Center | 179, Rush University Medical Center | 117, Rutgers Cancer Institute of New Jersey | 393, Segal Cancer Centre, Jewish General Hospital, McGill University | 185, Sidney Kimmel Cancer Center at Thomas Jefferson University | 140, SSM Health Cancer Care | 183, Stamford Hospital | 118, Stanford University | 134, St. Elizabeth Healthcare | 195, Sutter Health | 119, Ohio State University Comprehensive Cancer Center | 1-102, Tallahassee Memorial Healthcare | 180, ThedaCare Cancer Care | 173, Thompson Cancer Survival Center | 1-113, Tripler Army Medical Center | 159, Tufts Medical Center | 187, UCLA Jonsson Comprehensive Cancer Center | 136, University Hospitals, Cleveland | 120, University of California, Davis | 121, University of California, San Diego (UCSD) | 135, University of California, San Francisco (UCSF) | 141, University of Chicago | 166, University of Cincinnati Cancer Center | 148, University of Colorado Cancer Center | 122, University of Connecticut | 161, University of Florida Health Cancer Center | 156, University of Hawaii Cancer Center | 169, University of Illinois at Chicago (UIC) | 165, University of Iowa Holden Comprehensive Cancer Center | 123, University of Kansas | 1-105, University of Louisville James Graham Brown Cancer Center | 124, University of Maryland | 125, University of Miami/Sylvester Comprehensive Cancer Center | 153, University of Michigan/Rogel Cancer Center | 126, University of Minnesota | 1-106, University of Mississippi Medical Center | 184, University of Nebraska Medical Center/Buffett Cancer Center | 127, University of North Carolina/Lineberger Comprehensive Cancer Center | 132, University of Rochester Medical Center | 174, University of Wisconsin Carbone Cancer Center | 1100, UPMC Western Maryland | 128, Vanderbilt University Medical Center/Vanderbilt-Ingram Cancer Center | 1-111, Vidant Medical Center, East Carolina University | 191, Virginia Mason Cancer Institute | 186, Virtua Health | 157, Wake Forest Baptist Comprehensive Cancer Center | 129, Washington University in St. Louis/Siteman Cancer Center | 164, Weill Cornell Medicine/Meyer Cancer Center | 170, WellSpan Health | 194, Wentworth-Douglass Hospital | 130, West Cancer Center | 171, Willis-Knighton Cancer Center | 145, Yale New Haven Health/Smilow Cancer Hospital | 9999, TEST",,autocomplete,,,,"[ccc19] = '1'",y,,,,,
timing_of_report,screening_form,,radio,"<div class=""rich-text-field-label""><p>Is this survey being filled out during the COVID-19 illness, or retrospectively?</p> <p><span style=""font-weight: normal; color: #236fa1;"">Unless you know that the patient has either recovered from COVID-19 (with or without complications) or died from COVID-19, you should select ""during the COVID-19 illness"".</span></p> <p><span style=""font-weight: normal; color: #236fa1;"">If you know that the patient is deceased, you should select ""after the course of illness (retrospectively)"".</span></p></div>","1, During the illness | 2, After the course of illness (retrospectively)",,,,,,"[ccc19] = 1",y,,,,,
dx_year,screening_form,,radio,"What year was the patient diagnosed with COVID-19 in?","2019, 2019 | 2020, 2020 | 2021, 2021",,,,,,"[ccc19] = 1",y,,,,,
covid_19_dx_interval,screening_form,,radio,"<div class=""rich-text-field-label""><p>How long ago was the patient's COVID-19 diagnosis (to the best of your knowledge)?</p></div>","1, Within the past week | 2, Within the past 1 to 2 weeks | 3, Within the past 2 to 4 weeks | 4, Within the past 4 to 8 weeks | 5, Within the past 8 to 12 weeks | 6, Within the past 3 to 6 months | 7, More than 6 months ago | 8, Within the past 6 to 9 months | 9, Within the past 9 to 12 months | 10, More than 12 months ago | 99, Unknown",,,,,,"[ccc19] = 1",y,,,,," @HIDECHOICE = '7'"
hcw_screen,screening_form,,yesno,"Are you a healthcare provider or entering data on a healthcare provider's behalf?",,,,,,,"[ccc19] = '0'",,,,,," @HIDDEN"
hcw_exclude,screening_form,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; color: #236fa1;"">This survey is currently open only to healthcare professionals or those entering data on behalf of a healthcare professional. If you are a patient or care partner looking to enter data about yourself or someone you know, please know we are currently working on strategies to reach out to you. If you would like to learn more about patient involvement in CCC19, check our website - we will update our website as we develop more ways for patients to get involved.</span></p> <p><span style=""font-weight: normal; color: #236fa1;"">Thank you for your patience! Please click the button below to exit the survey.</span></p></div>","x, Exit the survey",,,,,,"[hcw_screen] = '0'",,,,,," @HIDDEN"
location,screening_form,,radio,"Are you based in any of the listed countries or regions?","1, United States or the U.S. territories | EU, European Union (EU) | 11, Argentina | 39, Canada | 140, Mexico | 224, United Kingdom | 83, Germany | 107, Italy | 197, Spain | 0, No - I am not based in any of those countries or regions",,,,,,"[ccc19] = '0'",,,,,," @HIDECHOICE = '83,107,197'
@HIDDEN"
intl_stop,screening_form,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; color: #236fa1;"">We're sorry, but the IRB does not allow us to collect data from your country at this time. However, we are actively looking into adding international participation on a country-by-country basis. Please visit our website for more information; you will be redirected there once you end the survey by clicking the button.</span></p></div>","x, Exit the survey",,,,,,"[location] = '0'",,,,,," @HIDDEN"
ts_1,patient_demographics,,text,"Timestamp for the patient demographics form",,,datetime_dmy,,,,,y,,,,," @HIDDEN @NOW_UTC"
local_id,patient_demographics,,text,"This field will only hold metadata for those sites using local REDCap instances and exporting to this database. It holds the local database record_id field.",,,integer,,,,,,,,,," @HIDDEN"
patient_id,patient_demographics,,text,"<div class=""rich-text-field-label""><p>Please enter your local unique patient identifier here (no PHI!). <span style=""font-weight: normal; color: #236fa1;"">If this is a test case, please enter ""9999"".</span></p></div>",,,integer,1,,,"[ccc19] = '1'",y,,,,,
age,patient_demographics,"<div class=""rich-text-field-label""><p>Patient Demographics - mandatory</p> <p><span style=""font-weight: normal; color: #236fa1;"">This section asks about patient information at the time of the COVID-19 diagnosis or during the first known encounter for COVID-19 as available for data entry.</span></p></div>",radio,"Age at COVID-19 diagnosis (years)","1, Younger than 18 | 2, 18-29 | 3, 30-39 | 4, 40-49 | 5, 50-59 | 6, 60-69 | 7, 70-79 | 8, 80-89 | 9, Older than 90 | 10, DEPRECATED (was unknown) | 99, Unknown",,,,,,,y,,,,," @HIDECHOICE = '10'"
peds_contact,patient_demographics,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; color: #236fa1;"">We have interest in collecting additional information about pediatric patients, but these more specific details would require PHI and are thus currently out of scope. You may learn more about this effort by <a href=""https://ccc19us.org/"" target=""_blank"" rel=""noopener"">visiting the CCC19 website</a> (clicking this link will open a new window).</span></p></div>",,,,,,,"[age] = '1'",,,,,,
age_exact,patient_demographics,,text,"<div class=""rich-text-field-label""><p>Exact age at COVID-19 diagnosis <span style=""font-weight: normal; color: #236fa1;"">(Note: you should only enter a number between 18-89, as ages outside of this range are considered PHI)</span></p></div>",,,integer,18,89,,"[age] = '2' or [age] = '3' or [age] = '4' or [age] = '5' or [age] = '6' or [age] = '7' or [age] = '8'",,,,,,
gender,patient_demographics,,dropdown,Gender,"0, Female | 1, Male | 2, Other | 3, Prefer not to say",,,,,,,y,,,,,"SNOMED: 263495000"
country_of_patient_residen,patient_demographics,,dropdown,"Country of patient residence","1, United States of America (USA) | x, ------------------- | 2, Afghanistan | 3, Albania | 4, Algeria | 5, American Samoa | 6, Andorra | 7, Angola | 8, Anguilla | 9, Antarctica | 10, Antigua and Barbuda | 11, Argentina | 12, Armenia | 13, Aruba | 14, Australia | 15, Austria | 16, Azerbaijan | 17, Bahamas | 18, Bahrain | 19, Bangladesh | 20, Barbados | 21, Belarus | 22, Belgium | 23, Belize | 24, Benin | 25, Bermuda | 26, Bhutan | 27, Bolivia | 28, Bosnia and Herzegovina | 29, Botswana | 30, Bouvet Island | 31, Brazil | 32, British Indian Ocean Territory | 33, Brunei Darussalam | 34, Bulgaria | 35, Burkina Faso | 36, Burundi | 37, Cambodia | 38, Cameroon | 39, Canada | 40, Cape Verde | 41, Cayman Islands | 42, Central African Republic | 43, Chad | 44, Chile | 45, China | 46, Christmas Island | 47, Cocos (Keeling Islands) | 48, Colombia | 49, Comoros | 50, Congo | 51, Cook Islands | 52, Costa Rica | 53, Cote D'Ivoire (Ivory Coast) | 54, Croatia (Hrvatska | 55, Cuba | 56, Cyprus | 57, Czech Republic | 58, Denmark | 59, Djibouti | 60, Dominica | 61, Dominican Republic | 62, East Timor | 63, Ecuador | 64, Egypt | 65, El Salvador | 66, Equatorial Guinea | 67, Eritrea | 68, Estonia | 69, Ethiopia | 70, Falkland Islands (Malvinas) | 71, Faroe Islands | 72, Fiji | 73, Finland | 74, France | 77, French Guiana | 78, French Polynesia | 79, French Southern Territories | 80, Gabon | 81, Gambia | 82, Georgia | 83, Germany | 84, Ghana | 85, Gibraltar | 86, Greece | 87, Greenland | 88, Grenada | 89, Guadeloupe | 90, Guam | 91, Guatemala | 92, Guinea | 93, Guinea-Bissau | 94, Guyana | 95, Haiti | 96, Heard and McDonald Islands | 97, Honduras | 98, Hong Kong | 99, Hungary | 100, Iceland | 101, India | 102, Indonesia | 103, Iran | 104, Iraq | 105, Ireland | 106, Israel | 107, Italy | 108, Jamaica | 109, Japan | 110, Jordan | 111, Kazakhstan | 112, Kenya | 113, Kiribati | 114, Korea (North) | 115, Korea (South) | 116, Kuwait | 117, Kyrgyzstan | 118, Laos | 119, Latvia | 120, Lebanon | 121, Lesotho | 122, Liberia | 123, Libya | 124, Liechtenstein | 125, Lithuania | 126, Luxembourg | 127, Macau | 128, Macedonia | 129, Madagascar | 130, Malawi | 131, Malaysia | 132, Maldives | 133, Mali | 134, Malta | 135, Marshall Islands | 136, Martinique | 137, Mauritania | 138, Mauritius | 139, Mayotte | 140, Mexico | 141, Micronesia | 142, Moldova | 143, Monaco | 144, Mongolia | 145, Montserrat | 146, Morocco | 147, Mozambique | 148, Myanmar | 149, Namibia | 150, Nauru | 151, Nepal | 152, Netherlands | 153, Netherlands Antilles | 154, New Caledonia | 155, New Zealand | 156, Nicaragua | 157, Niger | 158, Nigeria | 159, Niue | 160, Norfolk Island | 161, Northern Mariana Islands | 162, Norway | 163, Oman | 164, Pakistan | 165, Palau | 166, Panama | 167, Papua New Guinea | 168, Paraguay | 169, Peru | 170, Philippines | 171, Pitcairn | 172, Poland | 173, Portugal | 174, Puerto Rico | 175, Qatar | 176, Reunion | 177, Romania | 178, Russian Federation | 179, Rwanda | 180, Saint Kitts and Nevis | 181, Saint Lucia | 182, Saint Vincent and The Grenadines | 183, Samoa | 184, San Marino | 185, Sao Tome and Principe | 186, Saudi Arabia | 187, Senegal | 188, Seychelles | 189, Sierra Leone | 190, Singapore | 191, Slovak Republic | 192, Slovenia | 193, Solomon Islands | 194, Somalia | 195, South Africa | 196, S. Georgia and S. Sandwich Isls. | 197, Spain | 198, Sri Lanka | 199, St. Helena | 200, St. Pierre and Miquelon | 201, Sudan | 202, Suriname | 203, Svalbard and Jan Mayen Islands | 204, Swaziland | 205, Sweden | 206, Switzerland | 207, Syria | 208, Taiwan | 209, Tajikistan | 210, Tanzania | 211, Thailand | 212, Togo | 213, Tokelau | 214, Tonga | 215, Trinidad and Tobago | 216, Tunisia | 217, Turkey | 218, Turkmenistan | 219, Turks and Caicos Islands | 220, Tuvalu | 221, Uganda | 222, Ukraine | 223, United Arab Emirates | 224, United Kingdom (Britain / UK) | 225, US Minor Outlying Islands | 226, Uruguay | 227, Uzbekistan | 228, Vanuatu | 229, Vatican City State (Holy See) | 230, Venezuela | 231, Viet Nam | 232, Virgin Islands (British) | 233, Virgin Islands (US) | 234, Wallis and Futuna Islands | 235, Western Sahara | 236, Yemen | 237, Yugoslavia | 238, Zaire | 239, Zambia | 240, Zimbabwe",,autocomplete,,,,,y,,,,,"SNOMED: 223369002"
state_of_patient_residence,patient_demographics,,dropdown,"State or territory of patient residence","AL, Alabama (AL) | AK, Alaska (AK) | AZ, Arizona (AZ) | AR, Arkansas (AR) | CA, California (CA) | CO, Colorado (CO) | CT, Connecticut (CT) | DE, Delaware (DE) | FL, Florida (FL) | GA, Georgia (GA) | HI, Hawaii (HI) | ID, Idaho (ID) | IL, Illinois (IL) | IN, Indiana (IN) | IA, Iowa (IA) | KS, Kansas (KS) | KY, Kentucky (KY) | LA, Louisiana (LA) | ME, Maine (ME) | MD, Maryland (MD) | MA, Massachusetts (MA) | MI, Michigan (MI) | MN, Minnesota (MN) | MS, Mississippi (MS) | MO, Missouri (MO) | MT, Montana (MT) | NE, Nebraska (NE) | NV, Nevada (NV) | NH, New Hampshire (NH) | NJ, New Jersey (NJ) | NM, New Mexico (NM) | NY, New York (NY) | NC, North Carolina (NC) | ND, North Dakota (ND) | OH, Ohio (OH) | OK, Oklahoma (OK) | OR, Oregon (OR) | PA, Pennsylvania (PA) | RI, Rhode Island (RI) | SC, South Carolina (SC) | SD, South Dakota (SD) | TN, Tennessee (TN) | TX, Texas (TX) | UT, Utah (UT) | VT, Vermont (VT) | VA, Virginia (VA) | WA, Washington (WA) | WV, West Virginia (WV) | WI, Wisconsin (WI) | WY, Wyoming (WY) | DC, District of Columbia (DC) | AS, American Samoa (AS) | GU, Guam (GU) | MP, Northern Mariana Islands (MP) | PR, Puerto Rico (PR) | VI, U.S. Virgin Islands (VI)",,autocomplete,,,,"[country_of_patient_residen] = '1'",y,,,,,
city,patient_demographics,,text,"<div class=""rich-text-field-label""><p>What is the name of the city where the patient is receiving medical care? <span style=""font-weight: normal; color: #236fa1;"">Optional, but will help with avoiding duplicate reports.</span></p></div>",,,,,,,,,,,,,
facility,patient_demographics,,text,"<div class=""rich-text-field-label""><p>What is the name of the healthcare facility where the patient is presenting? <span style=""font-weight: normal; color: #236fa1;"">Optional, but will help with avoiding duplicate reports. If the facility is a satellite to a larger center, please specify in this field.</span></p></div>",,,,,,,,,,,,,
more_demographics,patient_demographics,"<div class=""rich-text-field-label""><p>Patient demographics - optional</p> <p><span style=""font-weight: normal; color: #236fa1;"">This section asks about patient information at the time of the COVID-19 diagnosis or during the first known encounter for COVID-19 as available for data entry.</span></p></div>",yesno,"<div class=""rich-text-field-label""><p>Would you like to answer additional demographic questions? <span style=""font-weight: normal; color: #236fa1;"">This is optional but will really help us understand the granular details better.</span></p></div>",,,,,,,"[ccc19] = '0'",,,,,,
race,patient_demographics,,checkbox,"<div class=""rich-text-field-label""><p>Patient-reported race <span style=""font-weight: normal; color: #236fa1;"">(check all that apply if patient identifies with more than one race)</span></p></div>","1002-5, American Indian/Alaska Native | 2028-9, Asian | 2076-8, Native Hawaiian or Other Pacific Islander | 2054-5, Black or African American | 2106-3, White | 2131-1, Other | UNK, Unknown / Not Reported",,,,,,,,,,,,"Value Set: 2.16.840.1.114222.4.11.6065"
ethnicity,patient_demographics,,radio,"Patient-reported ethnicity","2135-2, Hispanic or Latino | 2186-5, NOT Hispanic or Latino | UNK, Unknown / Not Reported",,,,,,,,RH,,,,"Value Set: 2.16.840.1.114222.4.11.837"
urban_rural,patient_demographics,,radio,"What type of area does the patient primarily reside in?","1, Urban (city) | 2, Suburban (town, suburbs) | 3, Rural (country) | 88, Other | 99, Unknown",,,,,,,,,,,,
insurance,patient_demographics,,checkbox,"<div class=""rich-text-field-label""><p>What is the patient's insurance status?</p> <p><span style=""font-weight: normal; color: #236fa1;"">Check all that apply; this should be the insurance status at the time of COVID-19 diagnosis.</span></p></div>","0, Not insured | 1, Private insurance/managed care | 2, Medicaid | 3, Medicare | 4, Other government | 99, Unknown",,,,,,"[more_demographics] = '1' or [ccc19] = '1' or [country_of_patient_residen] = '1'",,,,,,
hcw,patient_demographics,,radio,"Is the patient a healthcare worker?","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
hcw_info,patient_demographics,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; color: #236fa1;"">We are currently developing a separate survey to collect more information on healthcare workers with cancer who have suspected or confirmed COVID-19. You may learn more about this effort by <a href=""https://ccc19us.org/"" target=""_blank"" rel=""noopener"">visiting the CCC19 website</a> (clicking this link will open a new window).</span></p></div>",,,,,,,"[hcw] = '1'",,,,,," @HIDDEN"
ecog_status,patient_demographics,,radio,"<div class=""rich-text-field-label""><p>ECOG performance status prior to infection</p> <p><span style=""color: #236fa1; font-weight: normal;"">Please record the ECOG performance status closest to the time of infection. If the patient has not had an encounter with the medical system within 3 months of the COVID-19 diagnosis, you should choose ""No ECOG PS recorded within 3 months prior to COVID-19 diagnosis"".</span></p></div>","0, 0: Fully active, able to continue with all pre-disease activities without restriction | 1, 1: Restricted in physically strenuous activity but ambulatory and able to carry out work of a light or sedentary nature, e.g., light house work, office work | 2, 2: Ambulatory and capable of all self-care but unable to carry out any work activities. Up and about more than 50% of waking hours | 3, 3: Capable of only limited self-care. Confined to bed or chair more than 50% of waking hours | 4, 4: Completely disabled. Cannot carry on any self-care. Totally confined to bed or chair | 88, No ECOG PS recorded within the 3 months prior to COVID-19 diagnosis | 99, Unknown",,,,,,,y,,,,,
smoking_status,patient_demographics,,radio,"Smoking status","1, Current smoker | 2, Former smoker, NOS | 2a, Former smoker, quit less than 1 year ago | 2b, Former smoker, quit between 1 and 5 years ago | 2c, Former smoker, quit between 6 and 10 years ago | 2d, Former smoker, quit more than 10 years ago | 3, Never smoker | 99, Unknown",,,,,,,,,,,,
smoking_product,patient_demographics,,checkbox,"<div class=""rich-text-field-label""><p>Types of inhaled smoking products. <span style=""font-weight: normal; color: #236fa1;"">Check all that apply.</span></p></div>","722496004, Cigarettes | 722497008, Cigars | 722498003, e-Cigarettes | 722495000, Hookah pipe | OTH, Other | UNK, Unknown",,,,,,"[smoking_status] = '1' or [smoking_status] = '2a'",,,,,,"Variable:SNOMED 698101006; Value set:SNOMED"
smoking_product_oth_specify,patient_demographics,,notes,"<div class=""rich-text-field-label""><p>Please specify type of other smoking products</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI<span style=""font-weight: normal;""> in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[smoking_product(OTH)] = '1'",,,,,,
height,patient_demographics,,text,"<div class=""rich-text-field-label""><p>Patient height, please specify units. If you know BMI, please skip this field and enter it below.</p> <p><span style=""font-weight: normal; color: #236fa1;"">If patient has not had any recent heights taken, ok to use values up to 12 months prior to COVID-19 diagnosis.</span></p></div>",,,,,,,,,,,,,
weight,patient_demographics,,text,"<div class=""rich-text-field-label""><p>Patient weight, please specify units. If you know BMI, please skip this field and enter it below.</p> <p><span style=""font-weight: normal; color: #236fa1;"">If patient has not had any recent weights taken, ok to use values up to 3 months prior to COVID-19 diagnosis.</span></p></div>",,,,,,,,,,,,,
bmi,patient_demographics,,text,"<div class=""rich-text-field-label""><p>Patient body mass index (BMI) in kg/m2</p> <p><span style=""font-weight: normal; color: #236fa1;"">Note: please do not enter BSA here.</span></p></div>",,,number,5,,,,,,,,,
surg_med_hx_header,patient_demographics,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #843fa1;"">Surgical and Medical History</span></p></div>",,,,,,,,,,,,,
recent_surgery,patient_demographics,,radio,"<div class=""rich-text-field-label""><p>Has the patient had a surgery of any kind in the past year? <span style=""font-weight: normal; color: #236fa1;"">This should include but not be limited to cancer surgeries.</span></p></div>","0, No | 1, Yes | 99, Unknown",,,,,,,,,,,,
surgery_timing,patient_demographics,,radio,"<div class=""rich-text-field-label""><p>What is the timing of the most recent surgery, <em>relative to the date of COVID-19 diagnosis</em>?</p></div>","1, Within the past month prior to COVID-19 diagnosis | 2, Within the past 1 to 3 months prior to COVID-19 diagnosis | 3, Within the past 3 to 12 months prior to COVID-19 diagnosis | 88, AFTER COVID-19 diagnosis | UNK, Unknown",,,,,,"[recent_surgery] = '1'",,,,,,
details_surgery,patient_demographics,,notes,"<div class=""rich-text-field-label""><p>Additional details</p> <p><span style=""color: #e03e2d;""><span style=""font-weight: normal;"">Do not record </span>any PHI <span style=""font-weight: normal;"">in this field. As a reminder, this includes all elements of dates other than year.</span></span></p></div>",,,,,,,"[recent_surgery] = '1'",,,,,,
concomitant_meds,patient_demographics,,checkbox,"<div class=""rich-text-field-label""><p>Concomitant medications being taken at time of presentation with COVID-19.</p> <p><span style=""font-weight: normal; color: #236fa1;"">These would typically be the medications that the patient was taking as an outpatient at or around the time of COVID-19 diagnosis, unless they were already hospitalized and on additional medications for other reasons. Check all that apply.</span><span style=""font-weight: normal; color: #236fa1;""><br /></span></p></div>","H02, Systemic corticosteroids | L04A, Immunosuppressants | RXCUI-2393, Chloroquine | RXCUI-5521, Hydroxychloroquine (Plaquenil) | RXCUI-612865, Tocilizumab | C09A, ACE inhibitors | C09C, Angiotensin receptor blockers (ARBs) | ATC-C10AA, Statins | J01, Antibiotics | RXCUI-18631, Azithromycin (Zithromax/Z-Pak) | HO-44995, Anti-virals | ATC-J05AR10, Lopinavir/Ritonavir | RXCUI-260101, Oseltamivir (Tamiflu) | N02BE01, Tylenol (paracetamol/acetaminophen) | M01A, Ibuprofen, naproxen, or other NSAIDs | N02BA, Aspirin | B01AC, Antiplatelet agents other than aspirin | A10BA02, Metformin | A11CC, Vitamin D | B01A, Anticoagulation | C07A, Beta blockers | OTH, Other | UNK, Unknown | NONE, None",,,,,,,,LH,,,,"Terminology: ATC, RxNorm
@NONEOFTHEABOVE='NONE'
@HIDECHOICE='C07A'"
steroid_specific_2,patient_demographics,,radio,"<div class=""rich-text-field-label""><p>Steroid dosing, in <a href=""https://hemonc.org/wiki/Steroid_conversions"" target=""_blank"" rel=""noopener"">prednisone dose equivalents</a></p> <p><span style=""font-weight: normal; color: #236fa1;"">Note: 3 mg of dexamethasone is equivalent to 20 mg of prednisone, so any dose of dexamethasone of more than 3 mg/day (21 mg/week) would be equivalant to more than 20 mg of prednisone/day.</span></p></div>","1, 20 mg/day or below [low dose] | 1a, 10 mg/day or below [low dose] | 1b, More than 10 mg/day up to 20 mg/day | 2, More than 20 mg/day but less than 1mg/kg/day | 3, Equal to or greater than 1 mg/kg/day | 99, Unknown",,,,,,"[concomitant_meds(H02)] = '1'",,,,,," @HIDECHOICE='1'"
